method,lambda,feature,coefficient
SCAD Logistic via LLA,0.5,V490,-0.026718366288428955
SCAD Logistic via LLA,0.5,V491,0.10567452940573364
SCAD Logistic via LLA,0.5,V493,-0.05784087666598105
SCAD Logistic via LLA,0.5,V494,0.6768403676414255
SCAD Logistic via LLA,0.5,V495,0.11980870585119198
SCAD Logistic via LLA,0.5,V496,-0.07932604316185012
SCAD Logistic via LLA,0.5,V497,-0.18703353988312088
SCAD Logistic via LLA,0.5,V498,0.11561656501758096
SCAD Logistic via LLA,0.5,V499,0.05424829446145929
SCAD Logistic via LLA,0.5,V500,0.020445505871476564
SCAD Logistic via LLA,1.0,V001,0.00871542377767262
SCAD Logistic via LLA,1.0,V002,0.11409464612556945
SCAD Logistic via LLA,1.0,V003,0.038565070461486245
SCAD Logistic via LLA,1.0,V005,0.11294907009980763
SCAD Logistic via LLA,1.0,V006,-0.1369444446285041
SCAD Logistic via LLA,1.0,V007,-0.020236261506627867
SCAD Logistic via LLA,1.0,V008,0.040634218846834144
SCAD Logistic via LLA,1.0,V009,0.06666268270668739
SCAD Logistic via LLA,1.0,V011,-0.16205620767764822
SCAD Logistic via LLA,1.0,V012,0.03628854709742023
SCAD Logistic via LLA,1.0,V013,0.08050009362157481
SCAD Logistic via LLA,1.0,V014,0.02691030960206693
SCAD Logistic via LLA,1.0,V015,-0.11065335141919463
SCAD Logistic via LLA,1.0,V016,0.05168515306351901
SCAD Logistic via LLA,1.0,V017,-0.014868425706978246
SCAD Logistic via LLA,1.0,V018,-0.041161965568970116
SCAD Logistic via LLA,1.0,V019,0.07332192822910594
SCAD Logistic via LLA,1.0,V020,-0.06241764093606437
SCAD Logistic via LLA,1.0,V021,-0.027612090857887434
SCAD Logistic via LLA,1.0,V022,0.09483185918649378
SCAD Logistic via LLA,1.0,V023,0.0023927756659445367
SCAD Logistic via LLA,1.0,V024,-0.08307193238200127
SCAD Logistic via LLA,1.0,V025,0.06334431229871942
SCAD Logistic via LLA,1.0,V026,0.06637514115571172
SCAD Logistic via LLA,1.0,V027,0.15780284037854758
SCAD Logistic via LLA,1.0,V028,0.046977111083920525
SCAD Logistic via LLA,1.0,V029,-0.09585618221726092
SCAD Logistic via LLA,1.0,V030,-0.011321480074336194
SCAD Logistic via LLA,1.0,V031,-0.02605234479749135
SCAD Logistic via LLA,1.0,V032,-0.06883226971455435
SCAD Logistic via LLA,1.0,V033,-0.02344909448971711
SCAD Logistic via LLA,1.0,V034,0.04122035930065534
SCAD Logistic via LLA,1.0,V035,-0.10711326795155472
SCAD Logistic via LLA,1.0,V036,0.0055344691886623125
SCAD Logistic via LLA,1.0,V037,-0.009752789168821791
SCAD Logistic via LLA,1.0,V038,0.019515130545641305
SCAD Logistic via LLA,1.0,V039,-0.08452783851443058
SCAD Logistic via LLA,1.0,V040,0.004913217533221964
SCAD Logistic via LLA,1.0,V041,0.008626899970675651
SCAD Logistic via LLA,1.0,V042,0.11912983719863968
SCAD Logistic via LLA,1.0,V043,-0.11272427539521374
SCAD Logistic via LLA,1.0,V044,-0.062328202697302174
SCAD Logistic via LLA,1.0,V045,0.10336869089381241
SCAD Logistic via LLA,1.0,V046,-0.03602590086935524
SCAD Logistic via LLA,1.0,V047,0.11288382441248077
SCAD Logistic via LLA,1.0,V048,0.0727934533690768
SCAD Logistic via LLA,1.0,V049,0.7249238936917899
SCAD Logistic via LLA,1.0,V050,-0.09442526085460665
SCAD Logistic via LLA,1.0,V051,0.007886909971638325
SCAD Logistic via LLA,1.0,V052,-0.01995261085390999
SCAD Logistic via LLA,1.0,V053,0.0008947713670388731
SCAD Logistic via LLA,1.0,V054,0.14980752537043024
SCAD Logistic via LLA,1.0,V055,0.058564074262229496
SCAD Logistic via LLA,1.0,V056,-0.10354858842934608
SCAD Logistic via LLA,1.0,V057,0.1460950287100698
SCAD Logistic via LLA,1.0,V058,-0.08297638069399053
SCAD Logistic via LLA,1.0,V059,0.0361761021712205
SCAD Logistic via LLA,1.0,V060,-0.009838543917714921
SCAD Logistic via LLA,1.0,V061,-0.14322976195333578
SCAD Logistic via LLA,1.0,V062,0.16005246668001452
SCAD Logistic via LLA,1.0,V063,0.03389165701027572
SCAD Logistic via LLA,1.0,V064,-0.09360299141617295
SCAD Logistic via LLA,1.0,V065,0.020540586784172567
SCAD Logistic via LLA,1.0,V066,-0.12611419272535274
SCAD Logistic via LLA,1.0,V067,-0.027471615166209957
SCAD Logistic via LLA,1.0,V068,0.05667926737417407
SCAD Logistic via LLA,1.0,V069,-0.003968715069193569
SCAD Logistic via LLA,1.0,V070,0.00822345900317972
SCAD Logistic via LLA,1.0,V072,-0.025323824499964977
SCAD Logistic via LLA,1.0,V073,-0.026207060568460214
SCAD Logistic via LLA,1.0,V074,0.13361232280087623
SCAD Logistic via LLA,1.0,V076,-0.00111268971625066
SCAD Logistic via LLA,1.0,V077,0.00356320168608476
SCAD Logistic via LLA,1.0,V078,0.04487887355537992
SCAD Logistic via LLA,1.0,V079,-0.04049825698140565
SCAD Logistic via LLA,1.0,V081,0.003093414420350864
SCAD Logistic via LLA,1.0,V082,-0.01968562884557108
SCAD Logistic via LLA,1.0,V083,-0.06459119207346743
SCAD Logistic via LLA,1.0,V084,0.07798663494938829
SCAD Logistic via LLA,1.0,V086,-0.0945944823327105
SCAD Logistic via LLA,1.0,V087,0.007564542360703851
SCAD Logistic via LLA,1.0,V088,-0.041262328118367934
SCAD Logistic via LLA,1.0,V089,-0.0699912207374783
SCAD Logistic via LLA,1.0,V090,-0.010872714012133715
SCAD Logistic via LLA,1.0,V091,-0.014877054973063863
SCAD Logistic via LLA,1.0,V092,-0.03545228266659679
SCAD Logistic via LLA,1.0,V094,-0.0034748051084856533
SCAD Logistic via LLA,1.0,V095,-0.031035125721023293
SCAD Logistic via LLA,1.0,V096,0.029267420988750938
SCAD Logistic via LLA,1.0,V097,0.025043006629730243
SCAD Logistic via LLA,1.0,V098,-0.01189221705260049
SCAD Logistic via LLA,1.0,V099,0.015516490969043641
SCAD Logistic via LLA,1.0,V100,0.00021808471108352773
SCAD Logistic via LLA,1.0,V101,0.00700790559048256
SCAD Logistic via LLA,1.0,V102,0.02756934147045555
SCAD Logistic via LLA,1.0,V103,0.006591336801953106
SCAD Logistic via LLA,1.0,V104,-0.08943987812215992
SCAD Logistic via LLA,1.0,V105,0.014232967557904196
SCAD Logistic via LLA,1.0,V107,0.07116465980534072
SCAD Logistic via LLA,1.0,V108,-0.004058172514791785
SCAD Logistic via LLA,1.0,V110,-0.06881657174328623
SCAD Logistic via LLA,1.0,V112,-0.009703759859329225
SCAD Logistic via LLA,1.0,V113,-0.010649172490981497
SCAD Logistic via LLA,1.0,V114,0.0232056413958626
SCAD Logistic via LLA,1.0,V115,0.027855767427724443
SCAD Logistic via LLA,1.0,V116,-0.05381406695492411
SCAD Logistic via LLA,1.0,V117,0.03976283579172057
SCAD Logistic via LLA,1.0,V118,0.0515321376472247
SCAD Logistic via LLA,1.0,V119,0.02776125322370633
SCAD Logistic via LLA,1.0,V120,0.08425263406982657
SCAD Logistic via LLA,1.0,V121,0.05307142038690831
SCAD Logistic via LLA,1.0,V122,0.04057178686752055
SCAD Logistic via LLA,1.0,V123,0.006650338630439334
SCAD Logistic via LLA,1.0,V124,-0.03260631166628092
SCAD Logistic via LLA,1.0,V125,0.00012014558767248497
SCAD Logistic via LLA,1.0,V126,-0.04938884663935833
SCAD Logistic via LLA,1.0,V127,-0.030354360269875848
SCAD Logistic via LLA,1.0,V128,-0.10320897175394744
SCAD Logistic via LLA,1.0,V130,0.02331380849913955
SCAD Logistic via LLA,1.0,V131,-0.13348702979356974
SCAD Logistic via LLA,1.0,V132,-0.04308728934209816
SCAD Logistic via LLA,1.0,V133,-0.01285486750683317
SCAD Logistic via LLA,1.0,V134,0.025484913085059607
SCAD Logistic via LLA,1.0,V135,0.033156610559188296
SCAD Logistic via LLA,1.0,V136,0.051788289924130454
SCAD Logistic via LLA,1.0,V137,0.12447305681658839
SCAD Logistic via LLA,1.0,V138,0.1595125147619197
SCAD Logistic via LLA,1.0,V139,-0.05813417239647468
SCAD Logistic via LLA,1.0,V140,-0.09638309372573828
SCAD Logistic via LLA,1.0,V141,0.14360681428674799
SCAD Logistic via LLA,1.0,V142,0.04491224146757994
SCAD Logistic via LLA,1.0,V143,0.016221735912424047
SCAD Logistic via LLA,1.0,V144,-0.022115837316022156
SCAD Logistic via LLA,1.0,V145,0.06849339019600706
SCAD Logistic via LLA,1.0,V146,0.0014722448031340223
SCAD Logistic via LLA,1.0,V147,-0.05311393447571215
SCAD Logistic via LLA,1.0,V148,-0.05421813851974271
SCAD Logistic via LLA,1.0,V149,0.002417798119600944
SCAD Logistic via LLA,1.0,V150,0.078239902603372
SCAD Logistic via LLA,1.0,V151,-0.04838617211810896
SCAD Logistic via LLA,1.0,V152,0.0487955005120802
SCAD Logistic via LLA,1.0,V153,-0.140482269778003
SCAD Logistic via LLA,1.0,V154,-0.3996125955087912
SCAD Logistic via LLA,1.0,V155,-0.06380237750994142
SCAD Logistic via LLA,1.0,V156,-0.049777971168802275
SCAD Logistic via LLA,1.0,V157,-0.018759734636236085
SCAD Logistic via LLA,1.0,V158,-0.03322369497110344
SCAD Logistic via LLA,1.0,V159,0.06322732689123284
SCAD Logistic via LLA,1.0,V160,-0.08177148686684599
SCAD Logistic via LLA,1.0,V161,0.0021408861173469796
SCAD Logistic via LLA,1.0,V162,-0.13782684153691524
SCAD Logistic via LLA,1.0,V163,-0.07057012319991117
SCAD Logistic via LLA,1.0,V164,0.1108798495897991
SCAD Logistic via LLA,1.0,V165,0.06859508987355326
SCAD Logistic via LLA,1.0,V166,0.14504723740885425
SCAD Logistic via LLA,1.0,V167,-0.06045320111137953
SCAD Logistic via LLA,1.0,V168,-0.08051442452036389
SCAD Logistic via LLA,1.0,V169,-0.13941214169618113
SCAD Logistic via LLA,1.0,V170,-0.0003616664867710371
SCAD Logistic via LLA,1.0,V171,-0.03456743699650182
SCAD Logistic via LLA,1.0,V173,0.01373904360507701
SCAD Logistic via LLA,1.0,V174,0.009370083298269794
SCAD Logistic via LLA,1.0,V175,0.00011439535958157883
SCAD Logistic via LLA,1.0,V176,-0.04757608473606455
SCAD Logistic via LLA,1.0,V177,-0.009959804054047823
SCAD Logistic via LLA,1.0,V178,0.03310687120979582
SCAD Logistic via LLA,1.0,V179,-0.013542598284801794
SCAD Logistic via LLA,1.0,V180,-0.07575934968928381
SCAD Logistic via LLA,1.0,V181,-0.02591731776878323
SCAD Logistic via LLA,1.0,V183,0.050920147416198575
SCAD Logistic via LLA,1.0,V184,-0.04726482912552095
SCAD Logistic via LLA,1.0,V185,0.06281279084990393
SCAD Logistic via LLA,1.0,V186,0.04059691579166972
SCAD Logistic via LLA,1.0,V187,0.09593113460094128
SCAD Logistic via LLA,1.0,V188,-0.05645532763540434
SCAD Logistic via LLA,1.0,V189,-0.02656263864968558
SCAD Logistic via LLA,1.0,V190,0.02884612366106751
SCAD Logistic via LLA,1.0,V191,-0.03739621832851068
SCAD Logistic via LLA,1.0,V192,0.056873012103618184
SCAD Logistic via LLA,1.0,V193,-0.013342317061343959
SCAD Logistic via LLA,1.0,V194,-0.07748238155844624
SCAD Logistic via LLA,1.0,V195,0.01892341787354658
SCAD Logistic via LLA,1.0,V196,0.07832730109708122
SCAD Logistic via LLA,1.0,V197,0.09163864845688785
SCAD Logistic via LLA,1.0,V198,0.07974063951038327
SCAD Logistic via LLA,1.0,V199,0.030705954463366356
SCAD Logistic via LLA,1.0,V200,-0.0675258135016138
SCAD Logistic via LLA,1.0,V201,-0.07100297095276882
SCAD Logistic via LLA,1.0,V202,0.03494064549171839
SCAD Logistic via LLA,1.0,V203,-0.08221497471814548
SCAD Logistic via LLA,1.0,V204,0.008493499047752739
SCAD Logistic via LLA,1.0,V205,0.11133869623398929
SCAD Logistic via LLA,1.0,V206,-0.08531147141845878
SCAD Logistic via LLA,1.0,V207,-0.051163614331475094
SCAD Logistic via LLA,1.0,V208,0.11504158559456276
SCAD Logistic via LLA,1.0,V209,0.005508368517816525
SCAD Logistic via LLA,1.0,V210,0.03283516298897257
SCAD Logistic via LLA,1.0,V211,0.0022492107708304097
SCAD Logistic via LLA,1.0,V212,0.15463508493329087
SCAD Logistic via LLA,1.0,V213,-0.04114125409110305
SCAD Logistic via LLA,1.0,V214,0.07215419440524151
SCAD Logistic via LLA,1.0,V215,0.08585047112839837
SCAD Logistic via LLA,1.0,V216,0.010834913236371733
SCAD Logistic via LLA,1.0,V217,-0.05922252048463262
SCAD Logistic via LLA,1.0,V218,-0.019799211165908822
SCAD Logistic via LLA,1.0,V219,-0.014836041406343236
SCAD Logistic via LLA,1.0,V220,-0.027836322794792145
SCAD Logistic via LLA,1.0,V221,-0.0940444117023025
SCAD Logistic via LLA,1.0,V222,-0.12331613513668188
SCAD Logistic via LLA,1.0,V223,-0.027220489346183842
SCAD Logistic via LLA,1.0,V224,-0.08112140487154208
SCAD Logistic via LLA,1.0,V225,-0.03436024000800745
SCAD Logistic via LLA,1.0,V227,-0.15486637243772888
SCAD Logistic via LLA,1.0,V228,-0.08805807067085338
SCAD Logistic via LLA,1.0,V229,-0.005392429566329836
SCAD Logistic via LLA,1.0,V230,0.03123754867554471
SCAD Logistic via LLA,1.0,V231,0.0017440132461264358
SCAD Logistic via LLA,1.0,V232,-0.007934244459654217
SCAD Logistic via LLA,1.0,V233,0.011067355420740395
SCAD Logistic via LLA,1.0,V234,-0.032687064560030114
SCAD Logistic via LLA,1.0,V235,-0.013296308260667689
SCAD Logistic via LLA,1.0,V236,-0.012006510723604705
SCAD Logistic via LLA,1.0,V237,-0.06385113174896728
SCAD Logistic via LLA,1.0,V238,-0.05632658639992017
SCAD Logistic via LLA,1.0,V239,-0.015218278866432735
SCAD Logistic via LLA,1.0,V240,-0.03858088940438291
SCAD Logistic via LLA,1.0,V241,0.014678833283903686
SCAD Logistic via LLA,1.0,V242,0.016730262836399317
SCAD Logistic via LLA,1.0,V243,0.041075753552023454
SCAD Logistic via LLA,1.0,V244,-0.04568053275616292
SCAD Logistic via LLA,1.0,V245,0.03328573942867778
SCAD Logistic via LLA,1.0,V246,0.08933377635996184
SCAD Logistic via LLA,1.0,V247,0.03182650570409779
SCAD Logistic via LLA,1.0,V248,0.021774924116508554
SCAD Logistic via LLA,1.0,V249,0.12929604104350903
SCAD Logistic via LLA,1.0,V250,0.03717522772689568
SCAD Logistic via LLA,1.0,V251,0.00468537219471977
SCAD Logistic via LLA,1.0,V252,0.05872552263905661
SCAD Logistic via LLA,1.0,V254,-0.10326799795737032
SCAD Logistic via LLA,1.0,V255,0.017706203728986042
SCAD Logistic via LLA,1.0,V256,-0.024198359524338565
SCAD Logistic via LLA,1.0,V257,-0.0664482247341456
SCAD Logistic via LLA,1.0,V258,-0.004347882370855434
SCAD Logistic via LLA,1.0,V259,-0.04428947299457212
SCAD Logistic via LLA,1.0,V260,-0.030251762199258642
SCAD Logistic via LLA,1.0,V261,0.024182387587989934
SCAD Logistic via LLA,1.0,V262,-0.06066816062927908
SCAD Logistic via LLA,1.0,V263,0.0062774757230174795
SCAD Logistic via LLA,1.0,V264,0.018423776174712848
SCAD Logistic via LLA,1.0,V265,-0.06500499330563454
SCAD Logistic via LLA,1.0,V266,0.05403068237021191
SCAD Logistic via LLA,1.0,V267,0.04647335665324688
SCAD Logistic via LLA,1.0,V268,-0.04736388001838845
SCAD Logistic via LLA,1.0,V269,0.035619468928102443
SCAD Logistic via LLA,1.0,V270,0.010757653526815151
SCAD Logistic via LLA,1.0,V271,0.011975810971961745
SCAD Logistic via LLA,1.0,V272,0.002330038301040843
SCAD Logistic via LLA,1.0,V273,0.004836627119190478
SCAD Logistic via LLA,1.0,V274,0.0033305543933541495
SCAD Logistic via LLA,1.0,V275,-0.01900485849652513
SCAD Logistic via LLA,1.0,V276,0.03730462872677339
SCAD Logistic via LLA,1.0,V277,0.044699695760545256
SCAD Logistic via LLA,1.0,V278,-0.08271165505943431
SCAD Logistic via LLA,1.0,V279,-0.10379719429002789
SCAD Logistic via LLA,1.0,V280,0.0395717977173399
SCAD Logistic via LLA,1.0,V281,-0.00830866724508583
SCAD Logistic via LLA,1.0,V282,-0.10824658547705923
SCAD Logistic via LLA,1.0,V283,0.15503282150663028
SCAD Logistic via LLA,1.0,V284,-0.009482804659862969
SCAD Logistic via LLA,1.0,V286,-0.13371101322854034
SCAD Logistic via LLA,1.0,V287,-0.14353598242379798
SCAD Logistic via LLA,1.0,V288,-0.02672438776757744
SCAD Logistic via LLA,1.0,V289,-0.015654059530825225
SCAD Logistic via LLA,1.0,V290,0.027994752470335456
SCAD Logistic via LLA,1.0,V291,0.038905201482702205
SCAD Logistic via LLA,1.0,V292,-0.09960259237822576
SCAD Logistic via LLA,1.0,V293,-0.031249558267811398
SCAD Logistic via LLA,1.0,V295,0.018343477832951472
SCAD Logistic via LLA,1.0,V296,-0.028584440278761662
SCAD Logistic via LLA,1.0,V297,-0.17549097298039507
SCAD Logistic via LLA,1.0,V298,-0.06194453904905708
SCAD Logistic via LLA,1.0,V299,-0.11452477878926018
SCAD Logistic via LLA,1.0,V300,0.08704776957665282
SCAD Logistic via LLA,1.0,V301,-0.048158682242857874
SCAD Logistic via LLA,1.0,V302,0.09354343813828217
SCAD Logistic via LLA,1.0,V303,0.052262766398462175
SCAD Logistic via LLA,1.0,V304,-0.08439818368278734
SCAD Logistic via LLA,1.0,V305,-0.09965268255606578
SCAD Logistic via LLA,1.0,V306,-0.06044352294153599
SCAD Logistic via LLA,1.0,V307,-0.10062603534388001
SCAD Logistic via LLA,1.0,V308,0.04191286935419935
SCAD Logistic via LLA,1.0,V309,0.09265224716224649
SCAD Logistic via LLA,1.0,V310,0.12018712466298324
SCAD Logistic via LLA,1.0,V311,-0.14530290283415126
SCAD Logistic via LLA,1.0,V312,0.03938377062595029
SCAD Logistic via LLA,1.0,V313,0.03692900182841421
SCAD Logistic via LLA,1.0,V314,-0.049745888446184744
SCAD Logistic via LLA,1.0,V315,0.05077774555210634
SCAD Logistic via LLA,1.0,V316,-0.0343386928055084
SCAD Logistic via LLA,1.0,V317,-0.008625818448772016
SCAD Logistic via LLA,1.0,V318,0.0912187832159981
SCAD Logistic via LLA,1.0,V319,-0.6207477207031438
SCAD Logistic via LLA,1.0,V320,-0.012588617866879627
SCAD Logistic via LLA,1.0,V321,0.04941802833743158
SCAD Logistic via LLA,1.0,V322,0.0770906656039501
SCAD Logistic via LLA,1.0,V323,-0.04719243504276814
SCAD Logistic via LLA,1.0,V324,-0.19424711575470457
SCAD Logistic via LLA,1.0,V325,0.0016017165267043735
SCAD Logistic via LLA,1.0,V326,-0.04069871262269261
SCAD Logistic via LLA,1.0,V327,-0.016141175321284344
SCAD Logistic via LLA,1.0,V328,-0.042072214541489024
SCAD Logistic via LLA,1.0,V329,-0.007609707207750125
SCAD Logistic via LLA,1.0,V330,0.050318165893745194
SCAD Logistic via LLA,1.0,V331,0.09290120528812591
SCAD Logistic via LLA,1.0,V332,-0.002125346046340319
SCAD Logistic via LLA,1.0,V333,0.022880490691358193
SCAD Logistic via LLA,1.0,V334,0.09045811633148355
SCAD Logistic via LLA,1.0,V335,-0.03751630395153383
SCAD Logistic via LLA,1.0,V336,-0.034481742418411364
SCAD Logistic via LLA,1.0,V337,-0.04297937014804254
SCAD Logistic via LLA,1.0,V338,-0.05037436383178827
SCAD Logistic via LLA,1.0,V340,0.03559742514516228
SCAD Logistic via LLA,1.0,V341,0.10526702650847033
SCAD Logistic via LLA,1.0,V342,0.0033103561357419264
SCAD Logistic via LLA,1.0,V343,0.0547006730317536
SCAD Logistic via LLA,1.0,V344,-0.10635752536876078
SCAD Logistic via LLA,1.0,V345,0.0672864390634266
SCAD Logistic via LLA,1.0,V346,-0.04391090572101326
SCAD Logistic via LLA,1.0,V347,0.02138688967605446
SCAD Logistic via LLA,1.0,V348,-0.08698479105094253
SCAD Logistic via LLA,1.0,V349,0.13850783508106185
SCAD Logistic via LLA,1.0,V350,0.09489132260984952
SCAD Logistic via LLA,1.0,V351,0.023776227068817702
SCAD Logistic via LLA,1.0,V352,0.01771688831151849
SCAD Logistic via LLA,1.0,V353,0.08976891370148427
SCAD Logistic via LLA,1.0,V354,0.056826148999448683
SCAD Logistic via LLA,1.0,V355,-0.008156553768482361
SCAD Logistic via LLA,1.0,V356,-0.01603004918386774
SCAD Logistic via LLA,1.0,V357,0.0035449607152828154
SCAD Logistic via LLA,1.0,V358,-0.06423364199434885
SCAD Logistic via LLA,1.0,V359,0.08542042893109689
SCAD Logistic via LLA,1.0,V360,0.04130296145872099
SCAD Logistic via LLA,1.0,V361,0.0008735024973434755
SCAD Logistic via LLA,1.0,V362,0.053206071020297695
SCAD Logistic via LLA,1.0,V363,-0.01794700894975151
SCAD Logistic via LLA,1.0,V364,0.08468936766069003
SCAD Logistic via LLA,1.0,V365,0.06810381815752162
SCAD Logistic via LLA,1.0,V366,0.03438123231741708
SCAD Logistic via LLA,1.0,V367,0.03928849940069702
SCAD Logistic via LLA,1.0,V368,-0.02575275878468348
SCAD Logistic via LLA,1.0,V369,0.02510000347382075
SCAD Logistic via LLA,1.0,V370,-0.021056509850680305
SCAD Logistic via LLA,1.0,V371,0.05268762400248241
SCAD Logistic via LLA,1.0,V372,-0.002435792897744428
SCAD Logistic via LLA,1.0,V373,0.01268867458164003
SCAD Logistic via LLA,1.0,V375,-0.06283921116256265
SCAD Logistic via LLA,1.0,V376,-0.06688902071870902
SCAD Logistic via LLA,1.0,V377,0.07175422638984195
SCAD Logistic via LLA,1.0,V378,-0.1616825003511723
SCAD Logistic via LLA,1.0,V379,-0.5660574902621395
SCAD Logistic via LLA,1.0,V380,-0.03484357451059279
SCAD Logistic via LLA,1.0,V381,0.003483341307770296
SCAD Logistic via LLA,1.0,V382,-0.06395511904755223
SCAD Logistic via LLA,1.0,V383,0.10106827549024419
SCAD Logistic via LLA,1.0,V384,0.08416793974376305
SCAD Logistic via LLA,1.0,V385,0.12653293375293714
SCAD Logistic via LLA,1.0,V386,0.020871635444027817
SCAD Logistic via LLA,1.0,V388,0.03682095756325017
SCAD Logistic via LLA,1.0,V389,-0.026785270365674574
SCAD Logistic via LLA,1.0,V390,-0.019686086159823833
SCAD Logistic via LLA,1.0,V391,-0.06586152447692954
SCAD Logistic via LLA,1.0,V392,0.0002970064999621698
SCAD Logistic via LLA,1.0,V393,-0.032758450984925774
SCAD Logistic via LLA,1.0,V394,-0.015049755452211613
SCAD Logistic via LLA,1.0,V395,-0.053786521292713475
SCAD Logistic via LLA,1.0,V396,-0.05569153585539499
SCAD Logistic via LLA,1.0,V398,-0.02358214130985171
SCAD Logistic via LLA,1.0,V399,0.01895843580178835
SCAD Logistic via LLA,1.0,V400,0.07197848573650048
SCAD Logistic via LLA,1.0,V401,0.026271040433007858
SCAD Logistic via LLA,1.0,V402,-0.013214339527445261
SCAD Logistic via LLA,1.0,V403,0.020276007121923168
SCAD Logistic via LLA,1.0,V404,0.12583548834748012
SCAD Logistic via LLA,1.0,V405,-0.0425999454416716
SCAD Logistic via LLA,1.0,V406,0.023583605959496386
SCAD Logistic via LLA,1.0,V407,0.05326504209413843
SCAD Logistic via LLA,1.0,V408,-0.03691002801264655
SCAD Logistic via LLA,1.0,V409,0.023326287626084647
SCAD Logistic via LLA,1.0,V410,-0.08651155616849959
SCAD Logistic via LLA,1.0,V411,-0.08656943318060793
SCAD Logistic via LLA,1.0,V412,-0.07632582086311576
SCAD Logistic via LLA,1.0,V413,0.09015301223767087
SCAD Logistic via LLA,1.0,V414,-0.11266485203098749
SCAD Logistic via LLA,1.0,V415,-0.10590795201459414
SCAD Logistic via LLA,1.0,V416,-0.056163399619994704
SCAD Logistic via LLA,1.0,V417,-0.04515753959376345
SCAD Logistic via LLA,1.0,V418,-0.13859114957034782
SCAD Logistic via LLA,1.0,V419,-0.008999315602193112
SCAD Logistic via LLA,1.0,V420,0.07400450085323533
SCAD Logistic via LLA,1.0,V421,-0.10679547206724209
SCAD Logistic via LLA,1.0,V422,-0.07446521553507857
SCAD Logistic via LLA,1.0,V423,-0.09322937846368651
SCAD Logistic via LLA,1.0,V424,-0.12055082290970304
SCAD Logistic via LLA,1.0,V425,0.1827429324611569
SCAD Logistic via LLA,1.0,V426,-0.16970712725771955
SCAD Logistic via LLA,1.0,V427,-0.01950138369889706
SCAD Logistic via LLA,1.0,V428,0.03565628963066235
SCAD Logistic via LLA,1.0,V429,0.0040908945333289785
SCAD Logistic via LLA,1.0,V430,0.0038896043704950405
SCAD Logistic via LLA,1.0,V431,-0.11105065502244965
SCAD Logistic via LLA,1.0,V432,0.13254561478971805
SCAD Logistic via LLA,1.0,V433,0.04665274622180178
SCAD Logistic via LLA,1.0,V435,0.017872699308419948
SCAD Logistic via LLA,1.0,V436,-0.04041144055661231
SCAD Logistic via LLA,1.0,V437,0.023354011429085497
SCAD Logistic via LLA,1.0,V438,-0.05272116621108014
SCAD Logistic via LLA,1.0,V439,-0.031244732962794355
SCAD Logistic via LLA,1.0,V440,0.051476140649896036
SCAD Logistic via LLA,1.0,V441,-0.03730807476928351
SCAD Logistic via LLA,1.0,V442,-0.12720959803331633
SCAD Logistic via LLA,1.0,V443,-0.7406749091183982
SCAD Logistic via LLA,1.0,V444,0.05108522510933492
SCAD Logistic via LLA,1.0,V445,-0.042373784254497886
SCAD Logistic via LLA,1.0,V446,0.16583382331390054
SCAD Logistic via LLA,1.0,V447,0.05178932615093151
SCAD Logistic via LLA,1.0,V448,-0.0466480422196357
SCAD Logistic via LLA,1.0,V449,-0.10033114607863378
SCAD Logistic via LLA,1.0,V450,-0.09119617156067716
SCAD Logistic via LLA,1.0,V451,-0.057626171191871266
SCAD Logistic via LLA,1.0,V452,0.34353035212521477
SCAD Logistic via LLA,1.0,V453,0.10907624145825842
SCAD Logistic via LLA,1.0,V455,0.14520898473191657
SCAD Logistic via LLA,1.0,V457,0.07858270569796759
SCAD Logistic via LLA,1.0,V458,0.07940309525699708
SCAD Logistic via LLA,1.0,V459,0.0832020650687043
SCAD Logistic via LLA,1.0,V461,-0.0006566173352111995
SCAD Logistic via LLA,1.0,V462,0.05886626483044658
SCAD Logistic via LLA,1.0,V463,-0.054005567334470025
SCAD Logistic via LLA,1.0,V464,-0.0518285394739081
SCAD Logistic via LLA,1.0,V468,-0.049770249306957906
SCAD Logistic via LLA,1.0,V469,0.08344779018140647
SCAD Logistic via LLA,1.0,V470,-0.10101910319264883
SCAD Logistic via LLA,1.0,V472,0.1146289127182797
SCAD Logistic via LLA,1.0,V474,0.0010896137893868707
SCAD Logistic via LLA,1.0,V475,0.03806992494019099
SCAD Logistic via LLA,1.0,V476,0.34227401651870776
SCAD Logistic via LLA,1.0,V477,0.024293020163591722
SCAD Logistic via LLA,1.0,V478,0.024783679471273527
SCAD Logistic via LLA,1.0,V479,0.04414514205838178
SCAD Logistic via LLA,1.0,V480,-0.032647152828843826
SCAD Logistic via LLA,1.0,V481,-0.0843880483974317
SCAD Logistic via LLA,1.0,V482,-0.14937855593655713
SCAD Logistic via LLA,1.0,V483,-0.010508482055369996
SCAD Logistic via LLA,1.0,V484,-0.015134544610433861
SCAD Logistic via LLA,1.0,V485,-0.009240299301217504
SCAD Logistic via LLA,1.0,V486,-0.044208802464402855
SCAD Logistic via LLA,1.0,V487,-0.07411154984582667
SCAD Logistic via LLA,1.0,V488,0.04515469748130335
SCAD Logistic via LLA,1.0,V489,-0.01759315079609503
SCAD Logistic via LLA,1.0,V490,-0.02009229275159111
SCAD Logistic via LLA,1.0,V491,0.10202045225591026
SCAD Logistic via LLA,1.0,V493,-0.05058276375793448
SCAD Logistic via LLA,1.0,V494,0.3993913364330465
